# x, sinc(x)
-1.181181181181180762e+00,7.831612315498801546e-01
-1.141141141141140736e+00,7.966669554648743157e-01
-1.101101101101100710e+00,8.098314260127267294e-01
-1.061061061061060684e+00,8.226423024455971067e-01
-1.021021021021020658e+00,8.350875523477191420e-01
-9.809809809809806325e-01,8.471554652303547872e-01
-9.409409409409406067e-01,8.588346657767568226e-01
-9.009009009009005808e-01,8.701141267207564978e-01
-8.608608608608605550e-01,8.809831813430309966e-01
-8.208208208208205292e-01,8.914315355695797694e-01
-7.807807807807805034e-01,9.014492796574089528e-01
-7.407407407407404776e-01,9.110268994529407971e-01
-7.007007007007004518e-01,9.201552872091760538e-01
-6.606606606606604259e-01,9.288257519481871727e-01
-6.206206206206204001e-01,9.370300293560718252e-01
-5.805805805805803743e-01,9.447602911980755858e-01
-5.405405405405403485e-01,9.520091542421849073e-01
-5.005005005005003227e-01,9.587696886800902707e-01
-4.604604604604602969e-01,9.650354260350542113e-01
-4.204204204204202711e-01,9.708003665468392107e-01
-3.803803803803802452e-01,9.760589860245104665e-01
-3.403403403403402194e-01,9.808062421585782564e-01
-3.003003003003001936e-01,9.850375802846245143e-01
-2.602602602602601678e-01,9.887489385912336948e-01
-2.202202202202201420e-01,9.919367527657387829e-01
-1.801801801801801162e-01,9.945979600719985214e-01
-1.401401401401400904e-01,9.967300028551202562e-01
-1.001001001001000645e-01,9.983308314687621143e-01
-6.006006006006003872e-02,9.993989066213666561e-01
-2.002002002002001291e-02,9.999332011384002294e-01
2.002002002002001291e-02,9.999332011384002294e-01
6.006006006006003872e-02,9.993989066213666561e-01
1.001001001001000645e-01,9.983308314687621143e-01
1.401401401401400904e-01,9.967300028551202562e-01
1.801801801801801162e-01,9.945979600719985214e-01
2.202202202202201420e-01,9.919367527657387829e-01
2.602602602602601678e-01,9.887489385912336948e-01
3.003003003003001936e-01,9.850375802846245143e-01
3.403403403403402194e-01,9.808062421585782564e-01
3.803803803803802452e-01,9.760589860245104665e-01
4.204204204204202711e-01,9.708003665468392107e-01
4.604604604604602969e-01,9.650354260350542113e-01
5.005005005005003227e-01,9.587696886800902707e-01
5.405405405405403485e-01,9.520091542421849073e-01
5.805805805805803743e-01,9.447602911980755858e-01
6.206206206206204001e-01,9.370300293560718252e-01
6.606606606606604259e-01,9.288257519481871727e-01
7.007007007007004518e-01,9.201552872091760538e-01
7.407407407407404776e-01,9.110268994529407971e-01
7.807807807807805034e-01,9.014492796574089528e-01
8.208208208208205292e-01,8.914315355695797694e-01
8.608608608608605550e-01,8.809831813430309966e-01
9.009009009009005808e-01,8.701141267207564978e-01
9.409409409409406067e-01,8.588346657767568226e-01
9.809809809809806325e-01,8.471554652303547872e-01
1.021021021021020658e+00,8.350875523477191420e-01
1.061061061061060684e+00,8.226423024455971067e-01
1.101101101101100710e+00,8.098314260127267294e-01
1.141141141141140736e+00,7.966669554648743157e-01
1.181181181181180762e+00,7.831612315498801546e-01
1.221221221221220787e+00,7.693268894195189889e-01
1.261261261261260813e+00,7.551768443853817958e-01
1.301301301301300839e+00,7.407242773763609289e-01
1.341341341341340865e+00,7.259826201156793779e-01
1.381381381381380891e+00,7.109655400357302035e-01
1.421421421421420916e+00,6.956869249493055074e-01
1.461461461461460942e+00,6.801608674960728518e-01
1.501501501501500968e+00,6.644016493834192794e-01
1.541541541541540994e+00,6.484237254410136764e-01
1.581581581581581020e+00,6.322417075086511629e-01
1.621621621621621046e+00,6.158703481771210519e-01
1.661661661661661071e+00,5.993245244020038998e-01
1.701701701701701097e+00,5.826192210104309543e-01
1.741741741741741123e+00,5.657695141209460044e-01
1.781781781781781149e+00,5.487905544966918958e-01
1.821821821821821175e+00,5.316975508521956106e-01
1.861861861861861200e+00,5.145057531340546664e-01
1.901901901901901226e+00,4.972304357958298726e-01
1.941941941941941252e+00,4.798868810874224455e-01
1.981981981981981278e+00,4.624903623791674079e-01
