# x, f(x), root1, root2
-3.280701754385965785e+00,-5.614035087719315698e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.195488721804512267e+00,-3.909774436090245331e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.110275689223058748e+00,-2.205513784461174964e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.025062656641605230e+00,-5.012531328321045976e-02,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.939849624060151712e+00,1.203007518796965769e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.854636591478698193e+00,2.907268170426036136e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.769423558897244675e+00,4.611528822055106502e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.684210526315791157e+00,6.315789473684176869e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.598997493734335862e+00,8.020050125313282763e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.513784461152882344e+00,9.724310776942353129e-01,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.428571428571428825e+00,1.142857142857142350e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.343358395989975307e+00,1.313283208020049386e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.258145363408521789e+00,1.483709273182956423e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.172932330827068270e+00,1.654135338345863460e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.087719298245614752e+00,1.824561403508770496e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.002506265664161234e+00,1.994987468671677533e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.917293233082707715e+00,2.165413533834584570e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.832080200501254197e+00,2.335839598997491606e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.746867167919800679e+00,2.506265664160398643e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.661654135338347160e+00,2.676691729323305680e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.576441102756893642e+00,2.847117794486212716e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.491228070175440124e+00,3.017543859649119753e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.406015037593986605e+00,3.187969924812026790e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.320802005012531311e+00,3.358395989974937379e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.235588972431077792e+00,3.528822055137844416e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
